iter	RMSE
0	0.9732358435
1	0.9478786753
2	0.9236579588
3	0.9000574678
4	0.8770369758
5	0.8543005346
6	0.8333528886
7	0.8136862733
8	0.7946189743
9	0.7761110537
10	0.7576853817
11	0.7392405035
12	0.7217759446
13	0.7062238564
14	0.6909541804
15	0.676720368
16	0.663241358
17	0.6505935768
18	0.6379403822
19	0.6267565694
20	0.6147011219
21	0.6042219084
22	0.5936422236
23	0.583599603
24	0.5743077509
25	0.565599981
26	0.5578289434
27	0.549633143
28	0.5420374706
29	0.5378947341
30	0.5306217999
31	0.5231039289
32	0.5163703295
33	0.5106010015
34	0.5044934893
35	0.4988272834
36	0.4939576923
37	0.488952584
38	0.4841931913
39	0.4794844025
40	0.4753113953
41	0.4712771069
42	0.4669270111
43	0.4628247243
44	0.459679067
45	0.4557873454
46	0.452552433
47	0.4496812932
48	0.448067316
49	0.4454575414
50	0.4428633091
51	0.4401490066
52	0.4375252112
53	0.4350112792
54	0.4326276149
55	0.4306709007
56	0.4286413395
57	0.4264384963
58	0.4250324712
59	0.4233516911
60	0.4216805292
61	0.4203470543
62	0.4189818033
63	0.4173097592
64	0.4156161722
65	0.4143690588
66	0.4128633046
67	0.4114023086
68	0.4100407815
69	0.4090043125
70	0.4079031385
71	0.4069496889
72	0.4060850494
73	0.4051484766
74	0.4041725222
75	0.4030398554
76	0.4023005569
77	0.4013201601
78	0.4007174974
79	0.4005176962
80	0.3997532185
81	0.3990152617
82	0.3984237626
83	0.3976477828
84	0.3970538428
85	0.3962523829
86	0.3958545743
87	0.3952108478
88	0.3947326705
89	0.3940639407
90	0.3935539874
91	0.3929302145
92	0.3924713846
93	0.3923175745
94	0.3919333667
95	0.3914485472
96	0.3911112572
97	0.3907454804
98	0.3903820448
99	0.3895087979
100	0.3892752686
101	0.3887733928
102	0.3884375236
103	0.3880161235
104	0.3873999123
105	0.3869529899
106	0.3863148323
107	0.3859109507
108	0.3856037004
109	0.3851688903
110	0.3849158785
111	0.3848387789
112	0.3846343465
113	0.3843594164
114	0.3840392055
115	0.3838984358
116	0.3836731178
117	0.3831617736
118	0.3827637655
119	0.3824718713
120	0.382062286
121	0.3819637048
122	0.3812312383
123	0.3805949037
124	0.3803831574
125	0.3802152146
126	0.3801037715
127	0.3799780822
128	0.379249953
129	0.3787929576
130	0.378135553131	0.3696209807
132	0.3694548145
133	0.3692232759
134	0.36897372
135	0.3687880839
136	0.3683940187
137	0.3682115827
138	0.3681989391
139	0.3676743825
140	0.3674136594
141	0.3666563684
142	0.3662294789
143	0.365895167
144	0.3653534829
145	0.3650403261
146	0.3648373875
147	0.3645811492
148	0.3642907344
149	0.3640493653
150	0.3636146787
151	0.36347857
152	0.3629267153
153	0.3626553097
154	0.3624778091
155	0.3620923778
156	0.3614089532
157	0.3611945759
158	0.3610321448
159	0.3608236291
160	0.3603009854
161	0.3599161277
162	0.3594148117
163	0.3592376906
164	0.3589897313
165	0.3587812346
166	0.3584465946
167	0.3580980845
168	0.357863721
169	0.3575303533
170	0.357268049
171	0.3570977242
172	0.3566802304
173	0.3565083179
174	0.3562922509
175	0.3559778276
176	0.3558382185
177	0.3556083414
178	0.3553458584
179	0.3552138194
180	0.3546713317
181	0.354484366
182	0.3542717145
183	0.3538764126
184	0.3536012805
185	0.3530936067
186	0.3528253715
187	0.3525184736
188	0.3522822244
189	0.3521473777
190	0.3518661751
191	0.3516160538
192	0.3511910264
193	0.3506937857
194	0.3504983032
195	0.3502099204
196	0.3500465409
197	0.3498796269
198	0.3495975888
199	0.349293632
200	0.3487321616
201	0.3481537616
202	0.3476580008
203	0.3473046958
204	0.3471484837
205	0.3468750408
206	0.3465308287
207	0.3463947227
208	0.345945173
209	0.3454983041
210	0.3451547186
211	0.3449146019
212	0.3444451003
213	0.3440152065
214	0.3437166855
215	0.3434199434
216	0.3430281131
217	0.3425735972
218	0.3424172467
219	0.3421591088
220	0.3418992541
221	0.3416346173
222	0.3412607089
223	0.3409996672
224	0.340752611
225	0.3400970706
226	0.3398304199
227	0.3393507356
228	0.338991941
229	0.3388134032
230	0.338433483
231	0.3381619104
232	0.337842438
233	0.3375500163
234	0.337289977
235	0.3370513204
236	0.3367654596
237	0.33654346
238	0.3363980066
239	0.336142351
240	0.3359322937
241	0.3357346722
242	0.3355538277
243	0.3353298599
244	0.3352704699
245	0.3349703741
246	0.3347391715
247	0.3342876707
248	0.3338565554
249	0.3336413246
250	0.3333447387
251	0.3330562558
252	0.332843603
253	0.3324401178
254	0.3319361477
255	0.3317573874
256	0.3315072215
257	0.3312033355
258	0.3310704386
259	0.330888649
260	0.3305246414
261	0.3302172701
262	0.3300452726
263	0.3297596418
264	0.3293940657
265	0.3291042542
266	0.3286987077
267	0.3285231873
268	0.3282570079
269	0.3280917281
270	0.3274600196
271	0.3272270133
272	0.3266146081
273	0.326416451
274	0.3262628117
275	0.3260276	0.3276	0.3257277	0.3211614443
278	0.3210253373
279	0.3209352049
280	0.3204999101
281	0.3200430126
282	0.3198328617
283	0.3197489685
284	0.3195764409
285	0.3193798109
286	0.3191596136
287	0.3188867431
288	0.3188172036
289	0.3187387768
290	0.3185495182
291	0.3180637786
292	0.3177876992
293	0.3175965588
294	0.317430073
295	0.3171793401
296	0.3169922498
297	0.3166443977
298	0.3163304184
299	0.3159786239
300	0.3158278559
301	0.3155007629
302	0.3152947538
303	0.3151000173
304	0.3148597386
305	0.3147303717
306	0.3146350331
307	0.3143911847
308	0.3141723488
309	0.313866253
310	0.3135699212
311	0.3132855884
312	0.3131448573
313	0.3128927596
314	0.3126941556
315	0.3124994774
316	0.312174768
317	0.3119084715
318	0.3118365279
319	0.3116832018
320	0.31160963
321	0.3114594452
322	0.3112744473
323	0.310931666
324	0.3108455775
325	0.3107359547
326	0.3103892989
327	0.3101064129
328	0.3099332162
329	0.3098272559
330	0.3094786109
331	0.3093149091
332	0.3088876705
333	0.3086645754
334	0.3083721394
335	0.3080217416
336	0.3078224347
337	0.3075109166
338	0.3073370608
339	0.3070018824
340	0.3067030955
341	0.3063794662
342	0.30620972
343	0.305916199
344	0.3056781954
345	0.3053900825
346	0.3050482714
347	0.3048178239
348	0.3044891899
349	0.304248391
350	0.3039743298
351	0.3035631152
352	0.3032754389
353	0.3030737751
354	0.3026790837
355	0.3024903039
356	0.3022408486
357	0.3020781376
358	0.3019190225
359	0.3018390374
360	0.3014346645
361	0.3008437956
362	0.3003087854
363	0.3000515391
364	0.2998186511
365	0.2995499325
366	0.2992431711
367	0.29917302
368	0.2988933198
369	0.2986770881
370	0.2984889647
371	0.2983327475
372	0.2981618061
373	0.2980088831
374	0.2979036487
375	0.2976768663
376	0.2974016976
377	0.2971815803
378	0.2970269327
379	0.2968009173
380	0.296533684
381	0.2963090146
382	0.2961230924
383	0.295879686
384	0.2956654924
385	0.2954823385
386	0.29541398
387	0.2952665919
388	0.2951943817
389	0.295016114
390	0.2949560272
391	0.2946342595
392	0.2944896786
393	0.2941813834
394	0.2939182926
395	0.2937764502
396	0.2935587052
397	0.2933291831
398	0.2931202607
399	0.2930537694
400	0.2929091387
401	0.2927826466
402	0.2925289409
403	0.2923460884
404	0.292050189
405	0.2919081715
406	0.291512498
407	0.2912698847
408	0.2912080531
409	0.290985248
410	0.2908041333
411	0.2905647923
412	0.2904504365
413	0.2901221791
414	0.2899017344
415	0.2896475512
416	0.2895073319
417	0.2894363853
418	0.2891980674
419	0.288912138
420	0.288763886
421	0.2885210778
422	0.2883902881
423	0.2882454904
424	0.2880793049
425	0.2879482694
426	0.2876454892
427	0.2875068469
428	0.2874210756
429	0.2871893465
430	0.2870559212
431	0.2869254172
432	0.286820751
433	0432	0.303562434	0.2861665157
435	0.2860289758
436	0435	0.303039437	0.2856979991
438	0437	0.302782439	0438	0.302496440	0.2853765138
441	0440	0.3020323196
441	0.3018225248
442	0.3016358199
443	0.3015282789
444	0.3012472892
445	0.3011826092
446	0.3010690185
447	0.3008935349
448	0.3008466733
449	0.3006748118
450	0.3005821603
451	0.3004545044
452	0.3002123907
453	0.2999108469
454	0.2998200767
455	0.2995555315
456	0.2993833348
457	0.2991375504
458	0.2990426088
459	0.2988770218
460	0.2986022512
461	0.298472909
462	0.2982835746
463	0.2980716004
464	0.2978590079
465	0.297694729
466	0.2975981629
467	0.2975133933
468	0.2972860001
469	0.2972021987
470	0.2970251033
471	0.29693757
472	0.2967524624
473	0.2963718774
474	0.2962522802
475	0.2961420571
476	0.2960182275
477	0.2958442129
478	0.2958145895
479	0.2955279618
480	0.2953678578
481	0.295112621
482	0.2950274426
483	0.29496687485	0.2786689964
486	0.2785982819
487	0.2784233703
488	0.278319755
489	0.2781054308
490	0.2778694758
491	0.2777453357
492	0.2776012511
493	0.2772441345
494	0.2771105112
495	0.2770476899
496	0.2768558512
497	0.2767361664
498	0.2765937474
499	0.2763428909
500	0.2762398437
501	0.2761908043
502	0.2760087238
503	0.2757334197
504	0.2756180866
505	0.2755736289
506	0.2754775354
507	0.2753811964
508	0.2753285575
509	0.275283134
510	0.2750487817
511	0.2749291007
512	0.2748161065
513	0.274613669
514	0.2744781445
515	0.2741804187
516	0.2738593807
517	0.2736806531
518	0.2734811857
519	0.2733084433
520	0.2731163658
521	0.2729268459
522	0.2727655037
523	0.272599959
524	0.2725233679
525	0.2724584656
526	0.2721691871
527	0.2718571289
528	0.2718125961
529	0.2716971034
530	0.271490292
531	0.2712855742
532	0.2711725287
533	0.270959588
534	0.2709088593
535	0.2707006158
536	0.2705896736
537	0.2704726358
538	0.270363706
539	0.2702550484
540	0.2700976464
541	0.2699085361
542	0.2696850303
543	0.2696457947
544	0.2694902951
545	0.2693851357
546	0.2692065859
547	0.2690558674
548	0.2687789101
549	0.2686859193
550	0.2685699524
551	0.550	0.2854552	0.2551	0.2853553	0.2552	0.2851554	0.2553	0.2850972585
554	0.284918475
555	0.28472557	0.556	0.2845779555
557	0.28446559	0.558	0.28417560	0.559	0.2839528
560	0.28382356562561	0.2835484497
562	0.2832083691
563	0.28289844565	0.2665415106
566	0.2664961254
567	0.2663017503
568	0.2661084061
569	0.2658407708
570	0.2657362733
571570	0.28183814572571	0.28168021573	0.2650811872
574	0.2649836783
575	0.2647650922
576	0.2646375011
577	0.2645935795
578	0.264402883
579	0.2643075411
580	0.2642611926
581	0.2640881444
582	0.2639349035
583	0.2636909414
584	0.2635683725
585	0.2631785021
586	0.2631156231
587	0.262918222
588	0.2628785678
589	0.2627006993
590	0.2625921592
591	0.2623848458
592	0.2622025764
593	0.2620142224
594	0.2618910589
595	0.2617867445
596	0.2616950122
597	0.2616254835
598	0.2615254805
599	0.2614020901
600	0.261278159
601	0.2611804903
602	0.2608977416
603	0.2607676916
604	0.2605966079
605	0.2605131852
606	0.2603941971
607	0.2602065541
608	0.2599941083
609	0.2598774582
610	0.2598088472
611	0.25953839
612	0.2595029774
613	0.2594149604
614	0.2593202493
615	0.2592342352
616	0.2591389491
617	0.2589648022
618	0.2588581125
619	0.2587913772
620	0.258648345
621	0.2585624889
622	0.2584724194
623	0.2581717244
624	0.2580814044
625	0.2578774539
626	0.2576326285
627	0.257493941
628	0.2571406986
629	0.257051293
630	0.2570081723
631	0.2568079949
632	0.2566669005
633	0.2565469617
634	0.25636242
635	0.2561563142
636	0.2560697037
637	0.2559793628
638	0.255793401
639	0.2555962184
640	0.2555652436
641	0.2554358939
642	0.2553331492
643	0.2552406773
644	0.2550137359
645	0.2547645128
646	0.254615
647	0.254453561
648	0.2543311897
649	0.2541997422
650	0.2541145382
651	0.2539909638
652	0.2539310067
653	0.2538296572
654	0.2537129145
655	0.2536398624
656	0.2535247205
657	0.2533947197
658	0.2532223795
659	0.2531437729
660	0.25307005
661	0.2529134616
662	0.2527177361
663	0.2525993481
664	0.252473122
665	0.2523439581
666	0.2522866049
667	0.2522310468
668	0.2520861067
669	0.2519347855
670	0.2517922781
671	0.2516039256
672	0.2515722723
673	0.2513392036
674	0.2512963343
675	0.2512072145
676	0.2511334957
677	0.2508532126
678	0.2507784884
679	0.2505381629
680	0.2504630953
681	0.2503759089
682	0.2500329027
683	0.2499865485
684	0.2498137237
685	0.2496619452
686	0.2495461793
687	0.2494780339
688	0.2493738781
689	0.2492617206
690	0.2491144828
691	0.2490392346
692	0.2488488121
693	0.2487665468
694	0.248416541
695	0.2482717018
696	0.2481162431
697	0.2480370681
698	0.2478238952
699	0.2476756082
700	0.2476181854
701	0.2474408446
702	0.2473003337
703	0.2472153048
704	0.2471639272
705	0.2469974063
706	0.2467393387
707	0.2465195942
708	0.2464458582
709	0.2463099724
710	0.2459722652
711	0.2458798022
712	0.2458252057
713	0.2457093162
714	0.2455274968
715	0.2454480946
716	0.2454083951
717	0.2452352889
718	0.2450546704
719	0.2449939485
720	0.2448366431
721	0.2448028664
722	0.2447645976
723	0.2445924107
724	0.2444588166
725	0.2441971588
726	0.2441198311
727	0.244086573
728	0.2440493951
729	0.2439432508
730	0.2438331656
731	0.2437254194
732	0.2435460676
733	0.243307544
734	0.2432492905
735	0.2432104774
736	0.2431046814
737	0.2428694949
738	0.2427574773
739	0.2426619047
740	0.2425106466
741	0.2424295465
742	0.2423692551
743	0.2423218992
744	0.2421991625
745	0.2420409734
746	0.2418998367
747	0.2418188707
748	0.2415270869
749	0.2414493336
750	0.2412629306
751	0.2411014483
752	0.2408311193
753	0.2407250024
754	0.2406254797
755	0.2404953161
756	0.2403321171
757	0.2402295353
758	0.2401089823
759	0.2398601848
760	0.2398118579
761	0.2396233979
762	0.2395572203
763	0.2394980887
764	0.2393721132
765	0.2392810996
766	0.239180327
767	0.2390587615
768	0.2390342358
769	0.2389575477
770	0.2388588176
771	0.2387621751
772	0.2386918006
773	0.2386068757
774	0.2384567785
775	0.2383485954
776	0.2382082016
777	0.2380666055
778	0.2380131203
779	0.2378551434
780	0.2376914972
781	0.2376094981
782	0.2374649951
783	0.2372059329
784	0.2371757617
785	0.237092338
786	0.2369548297
787	0.2368088762
788	0.2367326599
789	0.2365543763
790	0.2362385437
791	0.2360865537
792	0.2359672682
793	0.2358004333
794	0.2356687012
795	0.2355106438
796	0.2353728233
797	0.235252684
798	0.2352018117
799	0.2350346321
800	0.2349917711
801	0.2346331263
802	0.234549822
803	0.2344071578
804	0.2343386456
805	0.2341154931
806	0.2340345607
807	0.233708703
808	0.2335292934
809	0.2332619406
810	0.2331252329
811	0.2328354552
812	0.2327233929
813	0.2326625976
814	0.2324345564
815	0.2323673161
816	0.2322977565
817	0.2322340299
818	0.2320127289
819	0.2319707244
820	0.2318376018
821	0.2316195542
822	0.2315647779
823	0.2314449843
824	0.2313862519
825	0.231328296
826	0.2312301567
827	0.2309067087
828	0.2307713561
829	0.2306896797
830	0.2306246829
831	0.2305855046
832	0.2305272826
833	0.2303583344
834	0.2303420119
835	0.2302470197
836	0.2301167888
837	0.2300813569
838	0.2300091319
839	0.2298088339
840	0.2296948456
841	0.2295998094
842	0.2295020288
843	0.2294189912
844	0.2293333428
845	0.2292604625
846	0.2290485891
847	0.2289262528
848	0.2288279883
849	0.2287443645
850	0.2285527033
851	0.2284206341
852	0.2283822385
853	0.2283130943
854	0.2282429332
855	0.2280739961
856	0.228007477
857	0.2277426654
858	0.2277158965
859	0.2275402597
860	0.2275167999
861	0.2274195255
862	0.2272572465
863	0.2270370194
864	0.2269711035
865	0.2269330224
866	0.2268623604
867	0.2268255398
868	0.2267060581
869	0.2265584039
870	0.2264900578
871	0.2263454468
872	0.2262716481
873	0.2262486228
874	0.2261311149
875	0.2260717138
876	0.2259970355
877	0.2258413767
878	0.225721786
879	0.2256579592
880	0.225527914
881	0.2253987039
882	0.2251588368
883	0.2249835887
884	0.2248139571
885	0.2247215286
886	0.2246318548
887	0.22438173
888	0.2242141326
889	0.2240085289
890	0.2238796882
891	0.2237786399
892	0.2236541327
893	0.2236209291
894	0.2235132359
895	0.223405139
896	0.2231314121
897	0.2230548279
898	0.2229579358
899	0.222805552
900	0.222771256
901	0.2226601914
902	0.2226378866
903	0.2225297193
904	0.2224925558
905	0.2224081062
906	0.2223286874
907	0.222292339
908	0.2221775766
909	0.2221431916
910	0.2219803174
911	0.2219530189
912	0.2218157473
913	0.2217280793
914	0.2215724806
915	0.2214200961
916	0.2213110143
917	0.2212348722
918	0.2210742223
919	0.2208629678
920	0.2206269745
921	0.2205072518
922	0.2203556648
923	0.2201019874
924	0.2199700837
925	0.2199059441
926	0.2198188864
927	0.2195930518
928	0.2195358783
929	0.2193524936
930	0.2192872988
931	0.2192066381
932	0.2191396641
933	0.2189595022
934	0.2188971107
935	0.2187539942
936	0.2186920936
937	0.2185690389
938	0.2185232865
939	0.2184327529
940	0.2182609603
941	0.2181684535
942	0.218042709
943	0.2179281495
944	0.2179093069
945	0.2177862593
946	0.2176596989
947	0.2175947509
948	0.2174676552
949	0.2174074888
950	0.2172684119
951	0.2172054027
952	0.2170269026
953	0.2169107075
954	0.2168595966
955	0.2167968561
956	0.2166604574
957	0.2166056848
958	0.2163810859
959	0.2162572269
960	0.2161761679
961	0.2160251858
962	0.2159193441
963	0.2158972247
964	0.2157503174
965	0.2157337496
966	0.2157013869
967	0.2156684727
968	0.215445923
969	0.2153764221
970	0.2153624364
971	0.2150827621
972	0.215016809
973	0.2149373694
974	0.2148311647
975	0.214723414
976	0.214611814
977	0.2144764737
978	0.2144445407
979	0.2143709157
980	0.2142918781
981	0.2141484806
982	0.2140249779
983	0.2139518547
984	0.2138867856
985	0.2137583128
986	0.2136642928
987	0.2136133818
988	0.2135741272
989	0.2135445427
990	0.2133556108
991	0.2132976096
992	0.2131579678
993	0.2130222142
994	0.2129519245
995	0.2129368835
996	0.2126613576
997	0.212448273
998	0.2123937355
999	0.2122606375
	0.2291563887
230769421
74032
