iter	Passed	Remaining
0	154	154053
1	159	79669
2	164	54584
3	167	41652
4	168	33481
5	169	28043
6	170	24166
7	173	21452
8	173	19098
9	174	17254
10	175	15744
11	176	14508
12	177	13439
13	176	12405
14	178	11704
15	182	11213
16	183	10635
17	185	10097
18	188	9736
19	189	9279
20	191	8910
21	192	8564
22	193	8223
23	202	8216
24	203	7954
25	208	7792
26	209	7563
27	211	7333
28	213	7145
29	215	6978
30	217	6789
31	217	6583
32	222	6529
33	223	6340
34	223	6167
35	227	6091
36	231	6022
37	233	5917
38	237	5841
39	239	5746
40	241	5645
41	242	5537
42	245	5458
43	246	5347
44	248	5281
45	249	5168
46	251	5100
47	254	5050
48	255	4958
49	256	4882
50	258	4808
51	259	4725
52	261	4667
53	261	4581
54	263	4525
55	265	4481
56	266	4411
57	268	4362
58	271	4330
59	277	4345
60	278	4282
61	279	4221
62	281	4180
63	282	4130
64	285	4101
65	286	4056
66	287	3999
67	288	3947
68	290	3922
69	291	3878
70	294	3846
71	294	3800
72	298	3790
73	301	3767
74	303	3742
75	305	3711
76	309	3706
77	310	3665
78	313	3654
79	316	3643
80	319	3623
81	321	3595
82	321	3556
83	325	3547
84	328	3532
85	330	3507
86	331	3482
87	332	3450
88	334	3423
89	338	3422
90	340	3405
91	341	3373
92	344	3363
93	346	3340
94	348	3320
95	349	3290
96	350	3267
97	353	3252
98	355	3237
99	357	3215
100	358	3193
101	363	3202
102	364	3174
103	364	3143
104	367	3135
105	370	3126
106	372	3104
107	374	3089
108	376	3080
109	380	3081
110	386	3091
111	396	3145
112	406	3188
113	415	3231
114	417	3210
115	418	3191
116	422	3188
117	424	3172
118	425	3148
119	426	3125
120	429	3118
121	432	3109
122	432	3086
123	433	3064
124	435	3048
125	436	3025
126	437	3007
127	438	2990
128	442	2987
129	445	2979
130	447	2965
131	447	2945
132	449	2930
133	452	2923
134	453	2904
135	454	2884
136	455	2869
137	457	2855
138	458	2839
139	459	28241140	461	28111141	463	2799142	455	2727
1143	466	27721144	468	2764
145	470	27501146	473	2748
147	476	2745
148	478	2731
149	481	2725
150	481	2709
151	482	2692
152	483	2676
153	485	2667
154	487	2659
155	489	2646
156	491	2639
157	492	2622
158	494	2614
159	496	2604
160	497	2592
161	498	2580
162	500	2572
163	502	2561
164	504	2551
165	506	2542
166	507	2528
167	509	2521
168	514	2527
169	514	2513
170	519	2516
171	521	2511
172	524	2506
173	526	2498
174	527	2485
175	527	2471
176	528	2458
177	529	2445
178	532	2441
179	533	2431
180	535	2424
181	537	2417
182	539	2410
183	540	2397
184	542	2388
185	543	2376186	535	2326
1187	546	23601188	548	23541189	550	23471190	552	23401191	553	2330192	548	2293
193	549	2282
194	551	2276
195	553	2268
196	553	2257
197	555	2250
198	556	2239
1199	566	2265200	559	2222
2201	576	2276
202	578	2271
203	583	2278
204	586	2273
205	588	2266
206	590	2260
207	593	2260
208	595	2253
209	596	2245
210	597	2234
211	599	2226
212	601	2221
213	602	2211
214	602	2201
215	605	2197
216	609	2200
217	610	2190
218	612	2183
219	615	2182
220	616	2172
221	620	2173
222	622	2167
223	623	2159
224	624	2149
225	626	2145
226	628	2138
227	628	2129
228	630	2124
229	634	2123
230	635	2114
231	637	2108
232	638	2102
233	641	2099
234	645	2100
235	646	2092
236	647	2083
237	650	2083
238	652	2077
239	654	2072
240	655	2065
241	656	2056
242	658	2049
243	659	2044
244	661	2038
245	664	2037
246	665	2029
247	667	2023
248	668	2016
249	670	2011
250	671	2002
251	675	2004
252	677	2001
253	678	1993
254	682	1993
255	683	1987
256	685	1982
257	687	1977
258	689	1973
259	692	1971
260	693	1964
261	695	1958
262	698	1956
263	699	1951
264	700	1943
265	701	1936
266	704	1934
267	706	1929
268	707	1922
269	709	1919
270	711	1914
271	713	1910
272	715	1905
273	716	1899
274	718	1893
275	718	1886
276	724	1890
277	725	1884
278	728	1882
279	730	1878
280	731	1872
281	734	1869
282	736	1866
283	738	1860
284	741	1860
285	742	1853
286	744	1848
287	746	1844
288	746	1837
289	748	1831
290	750	1828
291	751	1821
292	754	1820
293	756	1816
294	757	1809
295	758	1804
296	760	1800
297	762	1795
298	763	1789
299	765	1786
300	770	1790
301	774	1790
302	778	1791
303	779	1784
304	783	1784
305	789	1789
306	791	1787
307	794	1784
308	796	1781
309	798	1776
310	801	1775
311	803	1771
312	804	1766
313	808	1765
314	810	1763
315	814	1763
316	817	1760
317	818	1755
318	819	1749
319	820	1743
320	825	1745
321	828	1743
322	831	1743
323	832	1737
324	839	1743
325	841	1740
326	842	1734
327	847	1736
328	848	1730
329	849	1724
330	854	1727
331	859	1730
332	860	1724
333	861	1718
334	862	1711
335	865	1710
336	866	1704
337	868	1700
338	872	1700
339	876	1700
340	877	1696
341	881	1696
342	884	1693
343	887	1691
344	888	1686
345	890	1683
346	892	1679
347	895	1677
348	897	1673
349	899	1669
350	899	1663
351	902	1661
352	903	1656
353	905	1652
354	906	1647
355	908	1643
356	912	1643
357	914	1639
358	916	1636
359	919	1633
360	919	1628
361	922	1626
362	924	1621
363	926	1618
364	927	1614
365	929	1610
366	934	1611
367	937	1609
368	940	1608
369	942	1604
370	944	1602
371	946	1597
372	948	1594
373	951	1592
374	952	1587
375	953	1582
376	955	1579
377	959	1579
378	961	1575
379	964	1573
380	967	1571
381	968	1566
382	970	1562
383	970	1557
384	973	1555
385	974	1549
386	976	1546
387	978	1543
388	980	1539
389	981	1535
390	983	1531
391	985	1528
392	987	1525
393	989	1522
394	990	1516
395	993	1515
396	995	1512
397	999	1511
398	1000	1506
399	1005	1507
400	1006	1502
401	1009	1502
402	1013	1501
403	1016	1500
404	1018	1496
405	1020	1493
406	1023	1490
407	1024	1486
408	1027	1484
409	1032	1485
410	1034	1482
411	1036	1479
412	1039	1477
413	1042	1475
414	1043	1470
415	1046	1469
416	1049	1466
417	1052	1465
418	1053	1460
419	1054	1456
420	1059	1457
421	1062	1455
422	1063	1450
423	1065	1447
424	1070	1448
425	1072	1445
426	1073	1440
427	1075	1437
428	1077	1434
429	1083	1436
430	1087	1435
431	1092	1436
432	1094	1432
433	1101	1436
434	1106	1437
435	1108	1434
436	1111	1431
437	1114	1430
438	1115	1425
439	1117	1421
440	1120	1419
441	1120	1415
442	1124	1413
443	1126	1411
444	1128	1407
445	1130	1404
446	1132	1400
447	1135	1399
448	1136	1394
449	1137	1390
450	1140	1387
451	1141	1384
452	1143	1380
453	1144	1376
454	1146	1373
455	1147	1369
456	1150	1366
457	1151	1363
458	1153	1359
459	1158	1359
460	1160	1356
461	1163	1355
462	1165	1351
463	1167	1348
464	1169	1345
465	1172	1343
466	1174	1340
467	1176	1337
468	1177	1333
469	1178	1328
470	1180	1326
471	1181	1322
472	1183	1318
473	1186	1316
474	1188	1313
475	1191	1311
476	1191	1306
477	1193	1303
478	1193	1298
479	1195	1294
480	1198	1293
481	1201	1290
482	1202	1287
483	1204	1283
484	1205	1279
485	1206	1275
486	1209	1274
487	1210	1270
488	1215	1270
489	1216	1266
490	1218	1263
491	1220	1260
492	1221	1256
493	1223	1252
494	1223	1248
495	1226	1246
496	1229	1244
497	1231	1241
498	1232	1236
499	1232	1232
500	1234	1229
501	1236	1227
502	1238	1223
503	1240	1221
504	1242	1217
505	1244	1215
506	1247	1212
507	1248	1209
508	1251	1207
509	1253	1204
510	1255	1201
511	1258	1199
512	1260	1196
513	1263	1194
514	1265	1191
515	1266	1188
516	1269	1185
517	1271	1183
518	1272	1179
519	1274	1176
520	1275	1172
521	1277	1170
522	1281	1168
523	1283	1166
524	1285	1162
525	1287	1160
526	1288	1156
527	1291	1154
528	1296	1153
529	1301	1154
530	1303	1151
531	1305	1148
532	1307	1145
533	1309	1143
534	1310	1139
535	1311	1135
536	1313	1132
537	1314	1129
538	1315	1125
539	1317	1122
540	1319	1119
541	1321	1116
542	1323	1113
543	1324	1110
544	1325	1106
545	1328	1104
546	1332	1103
547	1333	1099
548	1334	1096
549	1338	1095
550	1341	1092
551	1343	1090
552	1346	1088
553	1347	1085
554	1349	1081
555	1353	1080
556	1356	1079
557	1357	1075
558	1360	1073
559	1361	1069
560	1364	1067
561	1366	1064
562	1368	1062
563	1371	1060
564	1373	1057
565	1375	1054
566	1376	1050
567	1379	1049
568	1382	1047
569	1384	1044
570	1385	1041
571	1386	1037
572	1387	1034
573	1390	1031
574	1393	1030
575	1394	1026
576	1396	1023
577	1398	1021
578	1400	1018
579	1403	1016
580	1405	1013
581	1411	1013
582	1414	1011
583	1415	1008
584	1417	1005
585	1420	1003
586	1423	1001
587	1426	999
588	1429	997
589	1431	994
590	1433	992
591	1439	992
592	1440	988
593	1441	985
594	1442	982
595	1445	979
596	1451	980
597	1455	978
598	1456	975
599	1457	971
600	1458	968
601	1460	965
602	1462	962
603	1464	960
604	1468	958
605	1473	957
606	1481	959
607	1487	958
608	1493	958
609	1498	958
610	1502	956
611	1504	953
612	1506	951
613	1508	948
614	1509	945
615	1511	942
616	1513	939
617	1515	936
618	1517	934
619	1518	930
620	1521	928
621	1523	925
622	1525	922
623	1525	919
624	1528	917
625	1530	914
626	1533	912
627	1535	909
628	1540	908
629	1542	906
630	1544	903
631	1547	901
632	1548	897
633	1549	894
634	1553	892
635	1554	889
636	1555	886
637	1558	884
638	1560	881
639	1564	879
640	1566	877
641	1567	874
642	1568	870
643	1570	867
644	1571	865
645	1573	862
646	1575	859
647	1577	857
648	1578	853
649	1581	851
650	1582	848
651	1585	846
652	1587	843
653	1590	841
654	1591	838
655	1595	836
656	1599	834
657	1600	831
658	1601	828
659	1602	825
660	1604	822
661	1605	819
662	1607	817
663	1610	814
664	1612	812
665	1616	810
666	1617	807
667	1620	805
668	1623	803
669	1627	801
670	1629	798
671	1631	796
672	1633	793
673	1634	790
674	1635	787
675	1636	784
676	1638	781
677	1639	778
678	1642	776
679	1645	774
680	1647	771
681	1648	768
682	1652	766
683	1654	764
684	1656	761
685	1658	759
686	1660	756
687	1661	753
688	1663	750
689	1666	748
690	1667	745
691	1668	742
692	1669	739
693	1672	737
694	1673	734
695	1675	732
696	1678	729
697	1682	727
698	1685	725
699	1686	722
700	1687	719
701	1689	717
702	1692	715
703	1694	712
704	1695	709
705	1696	706
706	1698	703
707	1701	701
708	1705	699
709	1706	697
710	1709	694
711	1711	692
712	1713	689
713	1714	686
714	1716	684
715	1718	681
716	1720	679
717	1723	676
718	1724	673
719	1726	671
720	1728	668
721	1731	666
722	1734	664
723	1735	661
724	1737	658
725	1741	657
726	1742	654
727	1743	651
728	1745	648
729	1747	646
730	1748	643
731	1751	641
732	1752	638
733	1755	636
734	1757	633
735	1761	631
736	1763	629
737	1767	627
738	1769	625
739	1772	622
740	1773	619
741	1775	617
742	1778	615
743	1781	613
744	1782	610
745	1783	607
746	1785	604
747	1789	602
748	1792	600
749	1794	598
750	1795	595
751	1799	593
752	1799	590
753	1801	587
754	1803	585
755	1805	582
756	1808	580
757	1808	577
758	1811	575
759	1811	572
760	1813	569
761	1816	567
762	1818	564
763	1819	561
764	1823	560
765	1826	557
766	1827	555
767	1830	552
768	1832	550
769	1835	548
770	1837	545
771	1838	542
772	1840	540
773	1842	538
774	1845	535
775	1848	533
776	1849	530
777	1851	528
778	1852	525
779	1853	522
780	1856	520
781	1857	517
782	1858	515
783	1859	512
784	1861	509
785	1863	507
786	1864	504
787	1867	502
788	1868	499
789	1869	496
790	1871	494
791	1873	492
792	1874	489
793	1877	487
794	1881	485
795	1881	482
796	1882	479
797	1886	477
798	1887	474
799	1890	472
800	1893	470
801	1893	467
802	1896	465
803	1896	462
804	1897	459
805	1899	457
806	1901	454
807	1903	452
808	1904	449
809	1905	446
810	1906	444
811	1907	441
812	1910	439
813	1913	437
814	1917	435
815	1921	433
816	1933	433
817	1937	431
818	1941	429
819	1946	427
820	1947	424
821	1948	421
822	1949	419
823	1951	416
824	1953	414
825	1956	412
826	1960	410
827	1962	407
828	1963	404
829	1966	402
830	1968	400
831	1969	397
832	1973	395
833	1975	393
834	1978	390
835	1980	388
836	1982	386
837	1988	384
838	1989	381
839	1989	379
840	1990	376
841	1995	374
842	2001	372
843	2002	370
844	2003	367
845	2004	364
846	2005	362
847	2006	359
848	2007	357
849	2008	354
850	2009	351
851	2010	349
852	2011	346
853	2012	343
854	2012	341
855	201859	2007	326
860	2008	324
861	2011	322
862	2017	320
863	2019	317
864	2022	315
865	2024	313
866	2025	310
867	20864	203868	20865	203869	2030	303
870	2032	301
871	2035	298
872	2038	296
873	2039	294
874	2041	291
875	2042	289
876	2044	286
877	2046	284
878	2048	282
879	2050	279
880	2054	277
881	2055	274
882	2056	272
883	2059	270
884	2062	267
885	2064	265
886	2067	263
887	2069	260
888	2075	259
889	2079	257
890	2080	254
891	2082	252
892	2087	250
893	2087	247
894	2092	245
895	2094	243
896	2101	241
897	2102	238
898	21895	211899	21896	211900	21897	212901	2115	229
902	21899	212903	21900	212904	21901	213905	21902	2144	230
903	2157	229
904	2157	226
905	2158	223
906	2159	221
907	2162	219
908	2164	216
909	2167	214
910	2168	211
911	2169	209
912	2170	206
913	2174	204
914	2175	202
915	2176	199
916	2177	197
917	2179	194
918	2180	192
919	2181	189
920	2182	187
921	2183	184
922	2184	182
923	2186	179
924	2187	177
925	2187	174
926	2188	172
927	2190	169
928	2192	167
929	2193	165
930	2194	162
931	2195	160
932	2196	157
933	2197	155
934	2198	152
935	2199	150
936	2199	147
937	2200	145
938	2201	143
939	2202	140
940	2203	138
941	2204	135
942	2204	133
943	2205	130
944	2206	128
945	2207	126
946	2208	123
947	2209	121
948	2210	118
949	2211	116
950	2212	113
951	2213	111
952	2214	109
953	2215	106
954	2216	104
955	2216	102
956	2217	99
957	2218	97
958	2219	94
959	2220	92
960	2221	90
961	2222	87
962	2224	85
963	2225	83
964	2225	80
965	2226	78
966	2227	76
967	2228	73
968	2230	71
969	2231	69
970	2231	66
971	2232	64
972	2233	61
973	2234	59
974	2235	57
975	2236	54
976	2236	52
977	2237	50
978	2238	48
979	2239	45
980	2240	43
981	2241	41
982	2241	38
983	2242	36
984	2243	34
985	2244	31
986	2245	29
987	2246	27
988	2246	24
989	2247	22
990	2248	20
991	2249	18
992	2250	15
993	2251	13
994	2252	11
995	2252	9
996	2253	6
997	2255	4
998	2256	2
999	2257	0
